"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Z.score"	"Combined.Score"	"Genes"
"1"	"regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)"	"5/22"	1.9805575978779e-08	3.42636464432877e-06	3.05496473989141e-08	5.28508900001214e-06	-2.99110599128882	53.0541512500257	"DHFR;RRM2;CDC6;FBXO5;TYMS"
"2"	"sister chromatid cohesion (GO:0007062)"	"7/97"	1.01101641369495e-07	8.74529197846131e-06	6.21658103013448e-08	5.37734259106632e-06	-2.73601878882406	44.0694362403899	"CENPH;NUF2;CDCA8;CENPM;AURKB;SKA1;SPC24"
"3"	"DNA strand elongation involved in DNA replication (GO:0006271)"	"2/8"	0.000414094448237626	0.0238794465150364	0.000518495008388428	0.029899878817066	-2.45301011602371	19.1075174094246	"GINS1;GINS2"
"4"	"G2/M transition of mitotic cell cycle (GO:0000086)"	"4/126"	0.00149482659389148	0.0527386282148432	0.0010419983974072	0.0421444662311385	-2.81305803545827	18.3010384446109	"CCNB1;MELK;CDC25C;AURKA"
"5"	"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)"	"3/62"	0.00182908537161306	0.0527386282148432	0.00146165778836319	0.0421444662311385	-2.63956269429234	16.6396428291566	"CCNB1;CDC25C;AURKA"
"6"	"regulation of mitotic nuclear division (GO:0007088)"	"2/21"	0.00300529245560679	0.0649894493524967	0.00283265244534546	0.0563979515925847	-2.78217074656862	16.1571238428587	"FBXO5;CDC25C"
"7"	"regulation of cell cycle (GO:0051726)"	"3/61"	0.00174544763669408	0.0527386282148432	0.00139757553741285	0.0421444662311385	-2.49914684270793	15.8714423934959	"CCNB1;FIGNL1;CDC25C"
"8"	"mitotic cell cycle (GO:0000278)"	"3/86"	0.00462930048937889	0.0728062713329589	0.00358599692207186	0.0563979515925847	-2.62553531197035	14.1131699382619	"CDC6;SKA1;AURKA"
"9"	"anaphase-promoting complex-dependent catabolic process (GO:0031145)"	"3/80"	0.00377903126033212	0.0653772408037457	0.00294365452791939	0.0563979515925847	-2.45080900887794	13.6713174613801	"CCNB1;AURKB;AURKA"
"10"	"spindle organization (GO:0007051)"	"2/19"	0.00245955259621708	0.060786085592222	0.00236160080972075	0.0563979515925847	-2.25411673446571	13.5422280060969	"AURKB;AURKA"
"11"	"regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)"	"2/23"	0.00360243922579568	0.0653772408037457	0.0033441093827784	0.0563979515925847	-2.40186179830735	13.5132205861412	"CCNB1;FBXO5"
"12"	"CENP-A containing nucleosome assembly (GO:0034080)"	"2/29"	0.00569424037086691	0.0748395701077122	0.0051153667056834	0.0666964228335437	-2.50680072519657	12.955898379185	"CENPH;CENPM"
"13"	"mitotic spindle organization (GO:0007052)"	"2/31"	0.00648898006714267	0.0748395701077122	0.00578292683527835	0.0666964228335437	-2.44463310035708	12.3152057305615	"CCNB1;AURKA"
"14"	"protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0042787)"	"3/122"	0.0120863417858742	0.100935783294809	0.00920020448831286	0.088424187582118	-2.71803494088613	12.0019704673823	"CCNB1;AURKB;AURKA"
"15"	"protein autophosphorylation (GO:0046777)"	"3/145"	0.0191195044999685	0.100935783294809	0.014505083576066	0.0965955845609016	-2.80808660493878	11.1117286735584	"MELK;AURKB;AURKA"
"16"	"nucleobase-containing small molecule interconversion (GO:0015949)"	"2/31"	0.00648898006714267	0.0748395701077122	0.00578292683527835	0.0666964228335437	-2.19953124578033	11.0804683936523	"RRM2;TYMS"
"17"	"positive regulation of cytokinesis (GO:0032467)"	"2/33"	0.00733115491244698	0.079268112490833	0.0064881603811673	0.0701532341213714	-2.2400195896641	11.0110900588154	"CDC6;AURKB"
"18"	"mitotic metaphase plate congression (GO:0007080)"	"2/38"	0.00963910696627872	0.0980920885391893	0.00841259852229028	0.0856105614327188	-2.25690623897583	10.4763935851373	"CCNB1;CDCA8"
"19"	"negative regulation of protein binding (GO:0032091)"	"2/43"	0.0122270068108158	0.100935783294809	0.0105610533798335	0.0961611702479574	-2.33102944143168	10.2661056461879	"AURKB;AURKA"
